N° Documento	Clase	Fecha Contabilización	Dias	Cuenta	Usuario	Texto	Texto cabecera	Centro de costo	Referencia	Moneda doc.	Debe	Haber
2744076	Débito	02-01-2025	36	1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	11		Pesos	7.194.695	0
2860742	Crédito	02-01-2025	36	1101500002	583	CANJE ENVIADO	CANJE ENVIADO	17		Pesos	0	-93.137.910
2860744	Crédito	02-01-2025	36	1101500002	583	REG VV POR COBRAR	REG VV POR COBRAR	17		Pesos	0	-58.000.000
2383740	Débito	02-01-2025	36	1101500002	1102	INGRESOS VARIOS PESOS	56-CURSA CANJE NO ENVIADO	29		Pesos	1.040.000	0
2383744	Débito	02-01-2025	36	1101500002	1251	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	02-CON DOCUMENTO	29		Pesos	8.050.000	0
2383750	Débito	02-01-2025	36	1101500002	1251	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	02-CON DOCUMENTO	29		Pesos	240.000	0
2383971	Débito	02-01-2025	36	1101500002	1251	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	02-CON DOCUMENTO	29		Pesos	7.717.309	0
2384009	Débito	02-01-2025	36	1101500002	1102	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	02-CON DOCUMENTO	29		Pesos	6.037.150	0
2652329	Débito	02-01-2025	36	1101500002	2499	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	02-CON DOCUMENTO	8		Pesos	1.000.000	0
2744537	Débito	02-01-2025	36	1101500002	6	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	02-VALOR CHEQUES	11		Pesos	88.183.347	0
2860737	Crédito	02-01-2025	36	1101500002	583	REG P ARAUCO	REG P ARAUCO	17		Pesos	0	-92.000.000
2861656	Débito	02-01-2025	36	1101500002	8374	INGRESOS VARIOS PESOS	56-CURSA CANJE NO ENVIADO	17		Pesos	2.677.530	0
2862113	Débito	02-01-2025	36	1101500002	8374	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	02-CON DOCUMENTO	17		Pesos	1.420.490	0
3143931	Débito	02-01-2025	36	1101500002	28	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	02-CON DOCUMENTO	15		Pesos	3.141.523	0
2862115	Débito	02-01-2025	36	1101500002	8374	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	02-CON DOCUMENTO	17		Pesos	6.449.335	0
3143516	Débito	02-01-2025	36	1101500002	28	INGRESOS VARIOS PESOS	56-CURSA CANJE NO ENVIADO	15		Pesos	574.515	0
3143533	Débito	02-01-2025	36	1101500002	28	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	02-VALOR CHEQUES	15		Pesos	73.278.356	0
3143972	Débito	02-01-2025	36	1101500002	28	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	02-CON DOCUMENTO	15		Pesos	115.591	0
3234151	Crédito	02-01-2025	36	1101500002	583	CANJE ENVIADO	CANJE ENVIADO	12		Pesos	0	-6.239.205
3235198	Débito	02-01-2025	36	1101500002	286	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	03-CON DOCUMENTO	12		Pesos	174.000	0
