N° Documento	Clase	Fecha Contabilización	Dias	Cuenta	Usuario	Texto	Texto cabecera	Centro de costo	Referencia	Moneda doc.	Debe	Haber
871728		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	57			0	-723.787
872809		02-01-2025		1101500002	1782	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	57			87.993	0
872818		02-01-2025		1101500002	1782	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	57			154.966	0
872839		02-01-2025		1101500002	1782	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	57			0	-242.959
1210252		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	54			0	-20.000.000
1210731		02-01-2025		1101500002	3050	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	54			244.697	0
1210996		02-01-2025		1101500002	3050	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	54			43.736	0
1211000		02-01-2025		1101500002	3050	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	54			910.690	0
1211022		02-01-2025		1101500002	3050	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	54			0	-2.228.560
1211023		02-01-2025		1101500002	3050	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	54			1.274.134	0
1211029		02-01-2025		1101500002	3050	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	54			383.311	0
1459503		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	47			0	-3.423.875
1484939		02-01-2025		1101500002	96	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	48			1.526.955	0
1484945		02-01-2025		1101500002	96	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	48			424.000	0
1484971		02-01-2025		1101500002	96	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	48			100.000	0
1562581		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	51			0	-2.369.900
1563190		02-01-2025		1101500002	2575	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	51			172.330	0
1563201		02-01-2025		1101500002	2575	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	51			89.974	0
1563201		02-01-2025		1101500002	2575	04-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	51			55.435	0
1581557		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	43			0	-5.095.424
1581776		02-01-2025		1101500002	9676	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	43			500.000	0
1749734		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	42			0	-8.516.371
1750204		02-01-2025		1101500002	5308	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	42			625.000	0
1750428		02-01-2025		1101500002	5308	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	42			628.089	0
2015488		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	27			0	-106.530
2016218		02-01-2025		1101500002	736	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	27			110.000	0
2142312		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	34			0	-35.137.400
2233920		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	30			0	-6.698.593
2233921		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	30			23.000.000	0
2233922		02-01-2025		1101500002	583	AJUSTE ESPECIAL X PAGAR	AJUSTE ESPECIAL X PAGAR	30			5.552.878	0
2234643		02-01-2025		1101500002	955	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	30			1.967.150	0
2234672		02-01-2025		1101500002	955	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	30			0	-1.967.150
2273588		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	9			0	-148.000
2383285		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	29			0	-12.410.722
2383740		02-01-2025		1101500002	1102	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	29			1.040.000	0
2383744		02-01-2025		1101500002	1251	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	29			8.050.000	0
2383750		02-01-2025		1101500002	1251	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	29			240.000	0
2383971		02-01-2025		1101500002	1251	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	29			7.717.309	0
2384009		02-01-2025		1101500002	1102	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	29			6.037.150	0
2509485		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	19			0	-891.000
2509486		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	19			49.040.201	0
2509488		02-01-2025		1101500002	583	REG VV POR COBRAR	REG VV POR COBRAR	19			0	-103.456.872
2510262		02-01-2025		1101500002	612	73-OP INGRESO CHQS	INGRESOS VARIOS PESOS	19			103.456.872	0
2510266		02-01-2025		1101500002	612	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	19			354.034	0
2571570		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	21			0	-17.556.870
2571571		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	21			30.000.000	0
2652329		02-01-2025		1101500002	2499	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	8			1.000.000	0
2652611		02-01-2025		1101500002	2499	73-OP INGRESO CHQS	INGRESOS VARIOS PESOS	8			14.069.017	0
2744075		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	11			0	-20.703.368
2744076		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	11			7.194.695	0
2744537		02-01-2025		1101500002	6	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	11			88.183.347	0
2860737		02-01-2025		1101500002	583	REG P ARAUCO	REG P ARAUCO	17			0	-92.000.000
2860742		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	17			0	-93.137.910
2860744		02-01-2025		1101500002	583	REG VV POR COBRAR	REG VV POR COBRAR	17			0	-58.000.000
2861656		02-01-2025		1101500002	8374	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	17			2.677.530	0
2142793		02-01-2025		1101500002	8631	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	34			16.095.060	0
2274179		02-01-2025		1101500002	4831	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	9			4.204.385	0
3963314		02-01-2025		1101500002	4169	73-OP INGRESO CHQS	INGRESOS VARIOS PESOS	20			663.806	0
3963316		02-01-2025		1101500002	4169	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	20			0	-329.809
3963329		02-01-2025		1101500002	4169	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	20			329.809	0
7580046		02-01-2025		1101500002	7123	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	36			202.300	0
7580046		02-01-2025		1101500002	7123	03-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	36			208.250	0
2862113		02-01-2025		1101500002	8374	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	17			1.420.490	0
2862115		02-01-2025		1101500002	8374	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	17			6.449.335	0
2862161		02-01-2025		1101500002	8374	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	17			882.588	0
3142645		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	15			0	-3.071.983
3143516		02-01-2025		1101500002	28	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	15			574.515	0
3143533		02-01-2025		1101500002	28	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	15			73.278.356	0
3143931		02-01-2025		1101500002	28	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	15			3.141.523	0
3143972		02-01-2025		1101500002	28	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	15			115.591	0
3143988		02-01-2025		1101500002	28	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	15			243.007	0
3234151		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	12			0	-6.239.205
3234152		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	12			27.595.739	0
3234822		02-01-2025		1101500002	286	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	12			5.000.000	0
3235198		02-01-2025		1101500002	286	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	12			174.000	0
3235227		02-01-2025		1101500002	286	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	12			851.808	0
3235230		02-01-2025		1101500002	286	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	12			140.998	0
3235238		02-01-2025		1101500002	286	05-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	12			476.855	0
3235250		02-01-2025		1101500002	286	04-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	12			848.193	0
3318608		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	7			0	-984.442
3318609		02-01-2025		1101500002	583	REG RANCAGUA	REG RANCAGUA	7			0	-58.300.000
3319286		02-01-2025		1101500002	197	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	7			6.640.890	0
